field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,consented_participant_information,,text,"Record ID",,,,,,,,,,,,,
dt1,consented_participant_information,,descriptive,"FOR TESTING THE FORMS AS SURVEYS:
1. Enter the email that you want to receive the baseline forms survey link on this form.
2. Set the form status as ""Complete"" and then Save this form. 
You should receive an email invitations for:
 - Baseline Survey
 - Trajectory Items Daily Day 1 Post-Op
 - Trajectory Items 6-Mo Post-Op Daily Day 1

When you complete the Trajectory Day 1 Surveys, you'll immediately receive an email with the links for Day 2
",,,,,,,,,,,,,@HIDDEN
guid,consented_participant_information,,text,GUID,,,,,,,,,,,,,@READONLY
nda_guid,consented_participant_information,,text,"NDA GUID",,,,,,,,,,,,,"@READONLY 20240709 Added field"
screening_id,consented_participant_information,,text,"Screening ID",,,,,,,,,,,,,@READONLY
first_name,consented_participant_information,,text,"First Name",,,,,,y,,,,,,,
last_name,consented_participant_information,,text,"Last Name",,,,,,y,,,,,,,
patient_email,consented_participant_information,,text,Email,,,email,,,y,,,,,,,
mobile_phone_number,consented_participant_information,,text,"Mobile Phone",,,phone,,,y,,,,,,,
home_phone_number,consented_participant_information,,text,"Home Phone",,,phone,,,y,,,,,,,
contact_method,consented_participant_information,,radio,"Preferred Contact method:","2, E-mail | 1, Text | 0, Mobile/Home",,,,,,,,,,,,
contact_language,consented_participant_information,"Language Preference for Surveys and Alerts",radio,"<div class=""rich-text-field-label""><p>What language do you prefer to use for surveys?</p></div>","en, English | es, Spanish",,,,,,,,,,,,
reconsent06302022,consented_participant_information,"Re-consent Information",radio,"<div class=""rich-text-field-label""><p>Was this participant reconsented for the June 30, 2022 consent change related to 3-Month visit?<br /><em>This only applies if participant was consented prior to 7/6/2022 AND had not yet completed their 3-Month visit at that time.</em></p></div>","1, yes - participant has been re-consented | 0, no - participant still needs re-consent | 2, no - participant did not come in for 3-month visit",,,,,,,,,,,,"20220706 - Added this field to flag participants that need to be re-consented. AHACKMAN"
sp_inclinfconsdone,postconsent_study_plan_crf_v06,"<div class=""rich-text-field-label""><p>Confirm inclusion criteria:<br /><span style=""font-weight: normal;"">In order to be eligible for the study, an individual must meet all of the following criteria:</span></p></div>",radio,"Completed informed consent","1, yes | 0, no",,,,,,,,RH,,,,
sp_inclcomply,postconsent_study_plan_crf_v06,,radio,"Stated willingness to comply with all base study activities for the duration of the study.","1, yes | 0, no",,,,,,,,RH,,,,
sp_inclage1884,postconsent_study_plan_crf_v06,,radio,"Between the ages of 18 to < 85 years.","1, yes | 0, no",,,,,,,,RH,,,,
sp_inclsurg,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Individuals scheduled to undergo thoracic surgery:</p> <p>Individuals who are scheduled for surgery using a thoracic approach (including thoracotomy, VATS, robotic surgery)</p> <p> </p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclprevbilthorpro,postconsent_study_plan_crf_v06,"<div class=""rich-text-field-label""><p>Confirm exclusion criteria are not violated, including MRI screening process:</p></div>",radio,"<div class=""rich-text-field-label""><p>Patient has undergone prior thoracic surgery within 3-months.</p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclothmajorsurg,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Patient undergoing:</p> <ul> <li>a <em>bilateral</em> thoracic procedure.</li> <li>another planned major surgery during the 6-month follow up period.</li> </ul></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_exclnoreadspkenglish,postconsent_study_plan_crf_v06,,radio,"<div class=""rich-text-field-label""><p>Patient unable to provide informed consent; or unable to read/speak English.</p></div>","1, yes | 0, no",,,,,,,,RH,,,,
sp_elig_calc,postconsent_study_plan_crf_v06,,calc,"Participant Inclusion/Exclusion Eligibility Calculation","if (([sp_inclcomply] + [sp_inclage1884] + [sp_inclsurg])='3' and  ([sp_exclothmajorsurg] + [sp_exclprevbilthorpro] + [sp_exclnoreadspkenglish])='0',1,0)",,,,,,,,,,,,@HIDDEN
sp_elig_calc_2,postconsent_study_plan_crf_v06,,calc,"Participant Inclusion sum testing","sum([sp_inclinfconsdone] + [sp_inclcomply] + [sp_inclage1884] + [sp_inclsurg])",,,,,,,,,,,,@HIDDEN
sp_plansurgincissite,postconsent_study_plan_crf_v06,"Confirm surgical incision site:",radio,"Planned surgical incision site:","1, Right chest | 2, Left chest",,,,,,,,RH,,,,
sp_surgcardiac,postconsent_study_plan_crf_v06,,radio,"Is the participant's thoracic surgery being performed to address a cardiac condition (e.g. mitral valve replacement, tricuspid valve replacement, afib ablation)?","1, yes | 0, no",,,,,,,,RH,,,,"20230404 Added field (AHACKMAN)"
sp_mricompatscr,postconsent_study_plan_crf_v06," ",radio,"<div class=""rich-text-field-label""><p>MRI compatibility screening:</p></div>","1, Pt has MR imaging contraindications, exclude from study | 2, MRI compatibility screen incomplete, need additional information from patient | 3, MRI screen complete, needs follow-up to determine compatibility by investigator | 4, Complete, cleared for imaging (no known contraindications)",,,,,,,,,,,,
sp_comments,postconsent_study_plan_crf_v06,,notes,"Additional Comments:",,,,,,,,,,,,,
dt_sp_unverified,postconsent_study_plan_crf_v06,,descriptive,"<div class=""rich-text-field-label""><h4><span style=""background-color: #e67e23;"">Note: Please leave this form status as ""Unverified"" until the MRI compatibility screening has been finalized.</span></h4></div>",,,,,,,"[sp_mricompatscr] = '2' or [sp_mricompatscr] = '3'",,,,,,
